iter	Passed	Remaining
0	5	551
1	8	399
2	10	351
3	12	292
4	13	260
5	15	239
6	16	223
7	18	211
8	19	201
9	21	192
10	22	185
11	24	179
12	25	173
13	27	168
14	28	164
15	30	160
16	32	156
17	33	153
18	35	149
19	36	146
20	37	142
21	39	139
22	40	137
23	42	134
24	43	131
25	45	129
26	47	127
27	48	124
28	50	122
29	51	120
30	53	118
31	54	116
32	56	113
33	57	111
34	59	110
35	60	108
36	62	106
37	63	104
38	65	102
39	66	100
40	68	98
41	68	95
42	70	93
43	71	91
44	73	89
45	74	87
46	76	86
47	77	84
48	79	82
49	80	80
50	82	79
51	83	77
52	85	75
53	86	74
54	87	71
55	89	70
56	90	68
57	92	66
58	93	65
59	95	63
60	96	61
61	98	60
62	99	58
63	101	57
64	102	55
65	104	53
66	105	52
67	107	50
68	108	48
69	110	47
70	111	45
71	113	44
72	115	42
73	116	41
74	118	39
75	120	38
76	122	36
77	123	34
78	124	33
79	126	31
80	128	30
81	130	28
82	131	27
83	133	25
84	135	23
85	136	22
86	138	20
87	139	19
88	141	17
89	143	15
90	144	14
91	146	12
92	147	11
93	149	9
94	150	7
95	152	6
96	153	4
97	155	3
98	156	1
99	158	0
