iter	Passed	Remaining
0	139	138979
1	140	70276
2	143	47752
3	145	36207
4	147	29276
5	149	24784
6	151	21491
7	154	19124
8	155	17165
9	157	15605
10	166	14942
11	172	14176
12	177	13474
13	179	12651
14	181	11935
15	183	11301
16	186	10797
17	190	10375
18	192	9933
19	194	9512
20	195	9119
21	197	8760
22	198	8433
23	200	8134
24	202	7910
25	205	7685
26	206	7455
27	208	7239
28	210	7034
29	211	6841
30	213	6659
31	214	6497
32	217	6386
33	219	6238
34	221	6102
35	222	5970
36	225	5857
37	226	5741
38	228	5635
39	231	5552
40	232	5447
41	234	5349
42	236	5253
43	237	5160
44	239	5072
45	240	4987
46	242	4916
47	244	4857
48	246	4781
49	247	4709
50	249	4643
51	251	4576
52	252	4511
53	253	4449
54	256	4403
55	258	4361
56	260	4306
57	261	4250
58	263	4199
59	264	4147
60	266	4099
61	267	4051
62	270	4020
63	272	3981
64	273	3937
65	275	3896
66	276	3854
67	278	3814
68	279	3774
69	281	3735
70	282	3698
71	284	3672
72	286	3637
73	287	3602
74	289	3568
75	290	3536
76	292	3504
77	293	3472
78	295	3442
79	296	3414
80	300	3407
81	302	3382
82	302	3346
83	304	3319
84	306	3295
85	308	3275
86	309	3251
87	312	3235
88	314	3224
89	316	3204
90	318	3182
91	320	3163
92	322	3145
93	328	3165
94	329	3143
95	331	3122
96	341	3177
97	343	3161
98	345	3148
99	360	3246
100	367	3274
101	371	3271
102	373	3251
103	375	3231
104	377	3213
105	380	3206
106	389	3247
107	391	3232
108	393	3214
109	395	3197
110	397	3179
111	400	3173
112	402	3156
113	404	3142
114	408	3147
115	411	3138
116	416	3140
117	418	3130
118	422	3130
119	425	3118
120	427	3105
121	429	3088
122	431	3077
123	434	3072
124	436	3058
125	439	3048
126	440	3030
127	443	3024
128	446	3013
129	448	3000
130	450	2985
131	452	2973
132	453	2958
133	456	2947
134	459	2941
135	461	2933
136	464	2923
137	465	2910
138	467	2897
139	469	2884
140	472	2878
141	474	2866
142	477	2859
143	479	2847
144	480	2835
145	482	2823
146	485	2817
147	488	2812
148	490	2803
149	492	2793
150	494	2783
151	496	2770
152	498	2762
153	502	2759
154	505	2753
155	507	2745
156	509	2735
157	511	2725
158	514	2723
159	517	2718
160	519	2706
161	520	2694
162	522	2683
163	524	2674
164	526	2663
165	529	2661
166	531	2651
167	533	2641
168	535	2632
169	537	2621
170	539	2613
171	542	2613
172	545	2609
173	547	2599
174	549	2590
175	551	2581
176	553	2573
177	555	2563
178	557	2557
179	559	2548
180	561	2539
181	562	2529
182	564	2519
183	565	2509
184	567	2500
185	569	2491
186	571	2485
187	573	2477
188	575	2469
189	577	2461
190	579	2452
191	580	2444
192	582	2436
193	584	2428
194	586	2422
195	588	2414
196	590	2407
197	592	2400
198	594	2392
199	596	2385
200	598	2377
201	600	2372
202	602	2366
203	604	2358
204	606	2350
205	607	2342
206	609	2334
207	611	2326
208	613	2320
209	615	2315
210	617	2308
211	619	2301
212	620	2294
213	622	2287
214	624	2279
215	625	2271
216	628	2267
217	630	2261
218	632	2254
219	634	2247
220	635	2241
221	637	2234
222	639	2227
223	641	2221
224	643	2217
225	645	2210
226	647	2204
227	648	2196
228	650	2191
229	652	2184
230	654	2179
231	659	2182
232	661	2176
233	664	2173
234	667	2173
235	677	2193
236	682	2196
237	685	2194
238	689	2196
239	692	2193
240	694	2187
241	697	2184
242	702	2186
243	703	2181
244	705	2174
245	707	2167
246	709	2161
247	710	2154
248	712	2148
249	713	2141
250	716	2137
251	718	2131
252	719	2125
253	721	2119
254	723	2112
255	724	2107
256	726	2100
257	728	2094
258	730	2090
259	734	2089
260	736	2084
261	738	2079
262	740	2073
263	741	2068
264	743	2063
265	746	2059
266	748	2053
267	749	2048
268	751	2042
